order_id,most_recent_status,most_recent_status_change_time,preceding_event_time,following_event_time,period_of_time,count_polling_events,status_code,count_status_code,error_code,count_error_code
102588340,,,2020-02-26T18:27:32.919+01:00,2020-02-26T18:27:48.203+01:00,ONE_HOUR_BEFORE,233,200,233,,233
102605957,,,2020-02-26T19:22:21.857+01:00,2020-02-26T19:22:38.298+01:00,ONE_HOUR_BEFORE,46,200,46,,46
102605957,,,2020-02-26T19:22:21.857+01:00,2020-02-26T19:22:38.298+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102605957,,,2020-02-26T19:22:21.857+01:00,2020-02-26T19:22:38.298+01:00,THREE_MINUTES_BEFORE,3,200,3,,3
102614265,ONLINE,2020-02-26T13:00:33.317+01:00,2020-02-26T19:53:04.871+01:00,2020-02-26T19:53:39.951+01:00,ONE_HOUR_BEFORE,208,0,2,ECONNABORTED,2
102614265,ONLINE,2020-02-26T13:00:33.317+01:00,2020-02-26T19:53:04.871+01:00,2020-02-26T19:53:39.951+01:00,THREE_MINUTES_BEFORE,8,200,7,,7
102614265,ONLINE,2020-02-26T13:00:33.317+01:00,2020-02-26T19:53:04.871+01:00,2020-02-26T19:53:39.951+01:00,ONE_HOUR_BEFORE,208,200,206,,206
102614265,ONLINE,2020-02-26T13:00:33.317+01:00,2020-02-26T19:53:04.871+01:00,2020-02-26T19:53:39.951+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102614265,ONLINE,2020-02-26T13:00:33.317+01:00,2020-02-26T19:53:04.871+01:00,2020-02-26T19:53:39.951+01:00,THREE_MINUTES_BEFORE,8,0,1,ECONNABORTED,1
102616141,,,2020-02-26T19:48:55.924+01:00,2020-02-26T19:50:51.774+01:00,THREE_MINUTES_AFTER,5,200,5,,5
102616141,,,2020-02-26T19:48:55.924+01:00,2020-02-26T19:50:51.774+01:00,ONE_HOUR_BEFORE,37,200,37,,37
102616141,,,2020-02-26T19:48:55.924+01:00,2020-02-26T19:50:51.774+01:00,THREE_MINUTES_BEFORE,10,200,10,,10
102640788,ONLINE,2020-02-26T10:36:15.630+01:00,2020-02-26T21:07:40.607+01:00,2020-02-26T21:07:56.647+01:00,THREE_MINUTES_BEFORE,11,200,11,,11
102640788,ONLINE,2020-02-26T10:36:15.630+01:00,2020-02-26T21:07:40.607+01:00,2020-02-26T21:07:56.647+01:00,ONE_HOUR_BEFORE,217,200,217,,217
102640788,ONLINE,2020-02-26T10:36:15.630+01:00,2020-02-26T21:07:40.607+01:00,2020-02-26T21:07:56.647+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102643704,ONLINE,2020-02-26T18:37:57.749+01:00,2020-02-26T21:18:46.477+01:00,2020-02-26T21:27:26.919+01:00,THREE_MINUTES_AFTER,,,,,
102643704,ONLINE,2020-02-26T18:37:57.749+01:00,2020-02-26T21:18:46.477+01:00,2020-02-26T21:27:26.919+01:00,ONE_HOUR_BEFORE,230,200,230,,230
102643704,ONLINE,2020-02-26T18:37:57.749+01:00,2020-02-26T21:18:46.477+01:00,2020-02-26T21:27:26.919+01:00,THREE_MINUTES_BEFORE,8,200,8,,8
102498295,,,,2020-02-26T11:53:51.060+01:00,THREE_MINUTES_AFTER,,,,,
102498295,,,,2020-02-26T11:53:51.060+01:00,ONE_HOUR_BEFORE,,,,,
102498295,,,,2020-02-26T11:53:51.060+01:00,THREE_MINUTES_BEFORE,,,,,
102501559,,,2020-02-26T11:36:29.913+01:00,2020-02-26T11:36:33.175+01:00,ONE_HOUR_BEFORE,274,200,274,,274
102501559,,,2020-02-26T11:36:29.913+01:00,2020-02-26T11:36:33.175+01:00,THREE_MINUTES_AFTER,23,200,23,,23
102501559,,,2020-02-26T11:36:29.913+01:00,2020-02-26T11:36:33.175+01:00,THREE_MINUTES_BEFORE,23,200,23,,23
